Escolas_Postos,BAIRRO,ENDEREÇO ,lat,long
EM LIBERDADE,SANTA CRUZ,AV João XXlll S/N° Conj. Liberdade,-22.903583,-43.708611
EM LOURDES DE LIMA ROCHA,SANTA CRUZ,Estr. Aterrado Do Leme 3.309,-22.902129,-43.655043
EM MARECHAL PEDRO CAVALCANTI,PACIENCIA,Rua Porto Firme S/N.º,-22.924853,-43.632891
ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,Rua José Baldino S/N.º,-22.971739,-43.697354
EM PESTALOZZI,SANTA CRUZ,Rua Severiano Das Chagas S/Nº,-22.915717,-43.679753
EM PROFESSORA FLÁVIA DOS SANTOS SOARES,PACIENCIA,Rua Eudaldo Gomes Da Silva S/N.º Conj Urucânia,-22.914027,-43.653436
E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,Avenida Mário Pereira dos Santos S/N.º,-22.873187,-43.627731
EM PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,Avenida Canal 3 S/N.º Conj. Cesarão,-22.930111,-43.652899
EM TENENTE RENATO CESAR,SANTA CRUZ,"Av. Areia Branca, 1510",-22.939174,-43.686182
EM WALQUIR PEREIRA,NOVA SEPETIBA,Estrada de Sepetiba s/n Bloco 1,-22.956014,-43.686746
CIEP HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,"Estrada Da Pedra, S/N.º",-22.974506,-43.648171
EM BERTHA LUTZ,GUARATIBA,Estrada do Piaí 2075,-22.979064,-43.67058
EM DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,Rua Belchior Da Fonseca 643,-23.001416,-43.638757
EM ENGENHEIRO GASTÃO RANGEL,GUARATIBA,Estrada Do Magarça 9.183,-22.98046,-43.643545
EM FLORIPES ANGLADAS LUCAS,BARRA DE GUARATIBA,Estrada Roberto Burle Marx 7.523,-23.053064,-43.554884
EM JONATAS SERRANO,GUARATIBA,"Estrada Do Mato Alto, S/Nº",-22.953163,-43.577409
E.M. NARCISA AMALIA,ILHA DE GUARATIBA,Estrada Teodoreto de Camargo S/N.º,-23.009084,-43.537582
EM PROFESSOR CASTILHO,ILHA DE GUARATIBA,Caminho da Matriz 4406,-22.994124,-43.593683
EM TATIANA CHAGAS MEMÓRIA,GUARATIBA,RUA PEDRO OSÓRIO 360,-22.958388,-43.608066
